injury_texts,num_categories,injury_categories
Slow Urination,1,Ureter or Urethra
Severe Post-Traumatic Headaches,1,"Head, Skull"
Cervical and Shoulder Sprain,2,Shoulder;Neck or Back
"Neck and Shoulder Injuries, Wrist and Hand Injuries",4,Shoulder;Neck or Back;Hand;Wrist
TMJ Disfunction,1,Jaw
"Bruised Left Hip and Head, Unidentified Lower Back and Shoulder Pain",4,"Head, Skull;Hip, Pelvis;Shoulder;Neck or Back"
"Contusions of Right Knee and Chest Wall, Loss of Taste and Smell",4,Joint;Breast or Chest;Nose;Mouth or Teeth
"Back and Left Leg Pain, Loss of Almost All Usage of Right Arm, Hand, Leg",4,Leg;Neck or Back;Arm;Hand
"Shallower Lacerations up Back and Left Arm Pit, Fractures to Fibula, Medial Malleolus and Tibula",4,Neck or Back;Arm;Joint;Leg
"Lower Back Pain Radiating Into Left Hip and Leg, Neck and Shoulder Scar Tissue",4,"Neck or Back;Hip, Pelvis;Leg;Shoulder"
"Injury to Thumb, Knees, and Thigh, Temporomandibular Joint Dysfunction and Arthritis",5,Joint;Wrist;Leg;Arthritis;Jaw
Permanent Scarring,1,Face
Broken Dental Implants,1,Mouth or Teeth
Aggravation of Pre-Existing Spondylolisthesis,1,Spine
Loss of Affection,1,Alienation of Affection
Tendonitis,1,Joint
"Shoulder, Head, and Neck Pain, Permanent Disfigurement and Disability",5,"Shoulder;Head, Skull;Neck or Back;Disability;Skin"
Moderately Severe Pain to Lumbosacral Spine,1,Spine
"Injuries to Calf, Knee, and Elbow, Neck and Shoulder Injury",4,Joint;Leg;Shoulder;Neck or Back
"Contusions to Hip, Foot and Toe, Broken Teeth and Exposed Nerves",4,"Foot;Hip, Pelvis;Mouth or Teeth;Nerve System"
"Joint Injury between Hand and Wrist, Flare up of Pain in Neck and Testicles",4,Hand;Wrist;Neck or Back;Organs of Reproduction
"Shoulder and Thoracic Strain, Dog Bite (Arm)",4,Shoulder;Neck or Back;Arm;Single Wound
"Multiple Lacerations on Forehead, Chin, and Lip, Cervical and Lumbrosacral Strain",5,"Head, Skull;Face;Lip;Neck or Back;Spine"
Loss of Vision in Left Eye,1,Eye
Removal of Uterus,1,Ureter or Urethra
Edema,1,Joint
Partial Paralysis of Upper Lip,2,Paralysis;Mouth or Teeth
